,Nombre,Último,Máximo,Mínimo,Var.,% Var.,Vol.,Hora
0,Apple,"146,06","148,82","145,76","-2,73","-1,83%","124,93M",21:59:59
1,Bank of America,"40,50","40,67","40,08","+0,05","+0,12%","92,04M",21:59:59
2,Nov,"13,39","14,00","13,25","-0,42","-3,04%","76,42M",21:59:59
3,Ford Motor,"13,55","13,70","13,39","+0,15","+1,12%","75,20M",21:59:59
4,AT&T,"27,53","27,94","27,42","-0,07","-0,25%","64,95M",21:59:59
5,Pfizer,"43,89","44,46","43,31","-0,58","-1,30%","54,77M",21:59:59
6,Oracle,"86,39","87,57","85,95","-0,86","-0,99%","52,34M",21:59:59
7,Unum,"24,27","26,37","24,07","-1,56","-6,04%","47,41M",21:59:59
8,General Motors,"51,33","51,93","50,99","-0,19","-0,37%","44,56M",21:59:59
9,AMD,"103,88","105,98","103,71","-2,34","-2,20%","44,33M",21:59:59
10,Merck&Co,"71,68","72,00","70,89","-0,29","-0,40%","41,94M",21:59:59
11,Microsoft,"299,87","304,50","299,53","-5,35","-1,75%","40,85M",21:59:59
12,Cisco,"56,85","57,45","56,47","-0,48","-0,84%","38,75M",21:59:59
13,Freeport-McMoran,"33,05","34,58","32,57","-1,25","-3,64%","37,50M",21:59:59
14,Intel,"54,26","54,59","53,67","-0,57","-1,04%","34,92M",21:59:59
15,Wells Fargo&Co,"46,47","46,69","45,74","+0,19","+0,41%","33,51M",21:59:59
16,Carnival Corp,"23,55","23,84","23,14","+0,46","+1,99%","33,17M",21:59:59
17,American Airlines,"19,73","20,32","19,54","-0,16","-0,80%","32,36M",21:59:59
18,Coca-Cola,"54,44","55,19","54,37","-0,91","-1,64%","31,76M",21:59:59
19,Huntington Bancshares,"14,95","15,12","14,84","-0,10","-0,66%","31,75M",21:59:59
20,Baker Hughes,"23,94","24,35","23,81","-0,45","-1,85%","30,80M",21:59:59
21,Verizon,"54,28","54,46","54,06","-0,15","-0,28%","30,46M",21:59:59
22,Citigroup,"69,96","70,58","69,66","-0,04","-0,06%","30,39M",21:59:59
23,NVIDIA,"219,00","223,21","218,30","-3,42","-1,54%","28,51M",21:59:59
24,Exxon Mobil,"55,16","56,75","55,10","-0,66","-1,18%","28,50M",21:59:59
25,Tesla,"759,49","761,04","750,00","+2,50","+0,33%","28,03M",21:59:59
26,Perrigo,"43,94","45,12","43,64","-0,34","-0,77%","27,98M",21:59:59
27,Marathon Oil,"12,00","12,49","11,98","-0,32","-2,60%","27,36M",21:59:59
28,Kinder Morgan,"15,96","16,31","15,91","-0,20","-1,24%","26,33M",21:59:59
29,Hewlett Packard,"13,55","13,60","13,35","-0,11","-0,81%","26,05M",21:59:59
30,Facebook,"364,72","371,41","361,59","-8,34","-2,24%","25,87M",21:59:59
31,Devon Energy,"29,79","30,69","29,72","-0,52","-1,72%","24,64M",21:59:59
32,Occidental,"26,94","27,68","26,74","-0,39","-1,43%","24,14M",21:59:59
33,Kroger,"40,94","41,41","40,65","+0,07","+0,17%","23,58M",21:59:59
34,Comcast,"57,11","57,65","56,81","-0,17","-0,30%","23,33M",21:59:59
35,JPMorgan,"157,68","159,01","157,00","-0,41","-0,26%","23,26M",21:59:59
